시설종류,수용유형,시설명,도로명주소,지번주소,연락처,위도,경도,데이터기준일자
이용,이용시설,강원동부노인보호전문기관,"강원특별자치도 강릉시 율곡로 2954, 3층",,033-655-1389,37.76628641,128.8918691,2024-03-12
이용,이용시설,강릉시니어클럽,강원특별자치도 강릉시 공항길 19(병산동),,033-652-9070,37.76254808,128.9384344,2024-03-12
이용,이용시설,강릉노인종합복지관,강원특별자치도 강릉시 경강로 1956(홍제동),,033-640-2411,37.74771894,128.8839883,2024-03-12
이용,이용시설,노인종합복지관,강원특별자치도 강릉시 연곡면 연주로 230,,033-640-4285,37.87430886,128.8313684,2024-03-12
노인교실,노인여가복지시설,강릉 노인대학,강원특별자치도 강릉시 경강로 1956 (홍제동),,033-645-7985,37.74771894,128.8839883,2024-03-12
노인교실,노인여가복지시설,북부 노인대학,강원특별자치도 강릉시 사천면 미노길 28,,033-644-0249,37.82029969,128.851115,2024-03-12
노인교실,노인여가복지시설,주문진 노인대학,강원특별자치도 강릉시 주문진읍 신리대동길 31-3,,033-662-9008,37.88187084,128.8216856,2024-03-12
노인교실,노인여가복지시설,소망 노인대학,강원특별자치도 강릉시 종합운동장길 96 (교동),,033-645-1901,37.77047553,128.896439,2024-03-12
노인교실,노인여가복지시설,기쁜실버대학,강원특별자치도 강릉시 종합운동장길 19 (교동),,033-641-3382,37.7750968,128.8912079,2024-03-12
양로시설,노인주거복지시설,평안의 집,강원특별자치도 강릉시 모산로390번길 15 (유산동),,033-643-6435,37.74008597,128.9065541,2024-03-12
노인의료복지시설,노인요양시설,강릉효도마을,강원특별자치도 강릉시 강동면 심곡봉화길 118-1,,033-644-5766,37.6728601,129.0525968,2024-03-12
노인의료복지시설,노인요양시설,한빛마을,강원특별자치도 강릉시 구정면 보램길 42-6,,033-647-7058,37.68961163,128.9086192,2024-03-12
노인의료복지시설,노인요양시설,행복마을,,강원특별자치도 강릉시 노암동 279-9,033-645-3004,37.74947146,128.8989138,2024-03-12
노인의료복지시설,노인요양시설,경선효요양원,강원특별자치도 강릉시 옥가로7번길 3 (옥천동),,033-646-2779,37.7574184,128.89849,2024-03-12
노인의료복지시설,노인요양시설,오대산성모요양원,강원특별자치도 강릉시 연곡면 진고개로 907,,033-661-5030,37.83510839,128.6473432,2024-03-12
노인의료복지시설,노인요양시설,행복한둥지,강원특별자치도 강릉시 경강로1855번안길 38 (홍제동),,033-642-7712,37.74980563,128.8731303,2024-03-12
노인의료복지시설,노인요양시설,강릉노인요양시설,강원특별자치도 강릉시 성산면 보현길 22-73,,033-648-1235,37.74039418,128.7986365,2024-03-12
노인의료복지시설,노인요양시설,가정강릉요양원,강원특별자치도 강릉시 범일로579번길 49-3 (내곡동),,033-646-0401,37.73620506,128.8772819,2024-03-12
노인의료복지시설,노인요양시설,정다운노인요양원,강원특별자치도 강릉시 주문진읍 약수터아래길 13,,033-661-8819,37.89683781,128.8252444,2024-03-12
노인의료복지시설,노인요양시설,참살이요양원,강원특별자치도 강릉시 강동면 임곡로 687,,033-647-0629,37.69221605,128.9755754,2024-03-12
노인의료복지시설,노인요양시설,우리사랑노인요양시설,강원특별자치도 강릉시 강릉대로218번길 20 (임당동),,033-648-6419,37.75661805,128.8941439,2024-03-12
노인의료복지시설,노인요양시설,마루요양원,강원특별자치도 강릉시 모산로209번길 35-23 (장현동),,033-647-3007,37.72739299,128.9013186,2024-03-12
노인의료복지시설,노인요양시설,강릉치유재활요양원,강원특별자치도 강릉시 성산면 보현길 22-71,,033-642-7651,37.74009443,128.7989456,2024-03-12
노인의료복지시설,노인요양시설,사랑채움노인요양원,강원특별자치도 강릉시 진재골길29번길 27-17 (노암동),,033-641-8869,37.73799057,128.891167,2024-03-12
노인의료복지시설,노인요양시설,해누리요양원,강원특별자치도 강릉시 사천면 중앙서로 312-32,,033-644-6570,37.80591582,128.8281092,2024-03-12
노인의료복지시설,노인요양시설,은영노인요양시설,강원특별자치도 강릉시 경포로100번길 20-1 (교동),,033-645-7573,37.77437768,128.8865323,2024-03-12
노인의료복지시설,노인요양시설,착한사랑요양원,강원특별자치도 강릉시 남산초교길 112 (내곡동),,033-642-8818,37.73788568,128.8880849,2024-03-12
노인의료복지시설,노인요양시설,노인요양원 (율),강원특별자치도 강릉시 유산골길 40-7 (유산동),,033-641-5600,37.73749965,128.9035676,2024-03-12
노인의료복지시설,노인요양시설,효사랑요양원,강원특별자치도 강릉시 박월길 139-1 (박월동),,033-642-1412,37.72982013,128.9070723,2024-03-12
노인의료복지시설,노인요양시설,평강요양원,강원특별자치도 강릉시 성산면 위촌길 178,,033-644-1061,37.75756472,128.848765,2024-03-12
노인의료복지시설,노인요양시설,다솜요양원,강원특별자치도 강릉시 구정면 새끼미길 68,,033-648-2852,37.72303431,128.8855476,2024-03-12
노인의료복지시설,노인요양시설,금평요양원,강원특별자치도 강릉시 구정면 금평로 538-6,,033-642-7650,37.70081025,128.9158557,2024-03-12
노인의료복지시설,노인요양시설,참좋은마을,강원특별자치도 강릉시 주문진읍 장덕성황길 72-58,,033-661-6060,37.87662323,128.7938202,2024-03-12
노인의료복지시설,노인요양시설,다금요양원,강원특별자치도 강릉시 성산면 안곡길 153,,033-655-7837,37.7468371,128.8279878,2024-03-12
노인의료복지시설,노인요양시설,고은손,강원특별자치도 강릉시 강변로 520-5 (입암동),,033-643-1475,37.76502986,128.9175857,2024-03-12
노인의료복지시설,노인요양시설,에이플러스홈 노인의료복지시설,강원특별자치도 강릉시 위촌길 35 (홍제동),,033-641-5751,37.75803278,128.8620035,2024-03-12
노인의료복지시설,노인요양시설,우리요양원,강원특별자치도 강릉시 구정면 금평로 91-8,,033-641-0786,37.70772075,128.8898296,2024-03-12
노인의료복지시설,노인요양시설,갈바리노인요양원,강원특별자치도 강릉시 홍제동 611번지,,033-644-3474,37.757638,128.85957,2024-03-12
노인의료복지시설,노인요양시설,햇빛요양원,강원특별자치도 강릉시 연화봉길 26 (노암동),,033-642-6275,37.7491703,128.9011934,2024-03-12
노인의료복지시설,노인요양시설,효담요양원,강원특별자치도 강릉시 공제로359번길 19 (홍제동),,033-641-2847,37.74644254,128.858793,2024-03-12
노인의료복지시설,노인요양시설,사랑모아요양원,강원특별자치도 강릉시 경강로1855번안길 34 (홍제동),,033-648-2333,37.75002168,128.873395,2024-03-12
노인의료복지시설,노인요양시설,해드림요양원,강원특별자치도 강릉시 구정면 구정중앙로 239,,033-644-1161,37.71857159,128.8801687,2024-03-12
노인의료복지시설,노인요양시설,회산부모사랑,강원특별자치도 강릉시 회산로339번길 41 (회산동),,033-646-6565,37.73794471,128.8612091,2024-03-12
노인의료복지시설,노인요양시설,강릉사랑의뜰안요양원,강원특별자치도 강릉시 율곡로2953번길 2-1 (교동),,033-648-3476,37.76639368,128.8910063,2024-03-12
노인의료복지시설,노인요양시설,강릉천사요양원,강원특별자치도 강릉시 남강초교2길 25 (포남동),,033-648-3119,37.7689281,128.9183351,2024-03-12
노인의료복지시설,노인요양시설,온누리요양원,강원특별자치도 강릉시 경강로1928번길 11 (홍제동),,033-642-7738,37.74710754,128.8801018,2024-03-12
