연도,시도,시군구,읍면동,연령별(세),1인가구,남,여,기준일자
2010,강원도,강릉시,주문진읍,20세 미만,278,170,108,2022-05-26
2010,강원도,강릉시,주문진읍,20~24,135,85,50,2022-05-26
2010,강원도,강릉시,주문진읍,25~29,151,84,67,2022-05-26
2010,강원도,강릉시,주문진읍,30~34,214,140,74,2022-05-26
2010,강원도,강릉시,주문진읍,35~39,308,183,125,2022-05-26
2010,강원도,강릉시,주문진읍,40~44,451,264,187,2022-05-26
2010,강원도,강릉시,주문진읍,45~49,525,300,225,2022-05-26
2010,강원도,강릉시,주문진읍,50~54,637,305,332,2022-05-26
2010,강원도,강릉시,주문진읍,55~59,550,223,327,2022-05-26
2010,강원도,강릉시,주문진읍,60~64,412,136,276,2022-05-26
2010,강원도,강릉시,주문진읍,65~69,413,94,319,2022-05-26
2010,강원도,강릉시,주문진읍,70~74,323,50,273,2022-05-26
2010,강원도,강릉시,주문진읍,75~79,145,21,124,2022-05-26
2010,강원도,강릉시,주문진읍,80~84,63,9,54,2022-05-26
2010,강원도,강릉시,주문진읍,85세 이상,14,2,12,2022-05-26
2015,강원도,강릉시,주문진읍,20세 미만,111,69,42,2022-05-26
2015,강원도,강릉시,주문진읍,20~24,168,102,66,2022-05-26
2015,강원도,강릉시,주문진읍,25~29,135,85,50,2022-05-26
2015,강원도,강릉시,주문진읍,30~34,151,84,67,2022-05-26
2015,강원도,강릉시,주문진읍,35~39,214,140,74,2022-05-26
2015,강원도,강릉시,주문진읍,40~44,308,183,125,2022-05-26
2015,강원도,강릉시,주문진읍,45~49,451,264,187,2022-05-26
2015,강원도,강릉시,주문진읍,50~54,525,300,225,2022-05-26
2015,강원도,강릉시,주문진읍,55~59,637,305,332,2022-05-26
2015,강원도,강릉시,주문진읍,60~64,550,223,327,2022-05-26
2015,강원도,강릉시,주문진읍,65~69,412,136,276,2022-05-26
2015,강원도,강릉시,주문진읍,70~74,413,94,319,2022-05-26
2015,강원도,강릉시,주문진읍,75~79,323,50,273,2022-05-26
2015,강원도,강릉시,주문진읍,80~84,145,21,124,2022-05-26
2015,강원도,강릉시,주문진읍,85세 이상,77,11,66,2022-05-26
2020,강원도,강릉시,주문진읍,20세 미만,22,17,5,2022-05-26
2020,강원도,강릉시,주문진읍,20~24,90,53,37,2022-05-26
2020,강원도,강릉시,주문진읍,25~29,168,102,66,2022-05-26
2020,강원도,강릉시,주문진읍,30~34,135,85,50,2022-05-26
2020,강원도,강릉시,주문진읍,35~39,151,84,67,2022-05-26
2020,강원도,강릉시,주문진읍,40~44,214,140,74,2022-05-26
2020,강원도,강릉시,주문진읍,45~49,308,183,125,2022-05-26
2020,강원도,강릉시,주문진읍,50~54,451,264,187,2022-05-26
2020,강원도,강릉시,주문진읍,55~59,525,300,225,2022-05-26
2020,강원도,강릉시,주문진읍,60~64,637,305,332,2022-05-26
2020,강원도,강릉시,주문진읍,65~69,550,223,327,2022-05-26
2020,강원도,강릉시,주문진읍,70~74,412,136,276,2022-05-26
2020,강원도,강릉시,주문진읍,75~79,413,94,319,2022-05-26
2020,강원도,강릉시,주문진읍,80~84,323,50,273,2022-05-26
2020,강원도,강릉시,주문진읍,85세 이상,222,32,190,2022-05-26
2010,강원도,강릉시,성산면,20세 미만,42,25,17,2022-05-26
2010,강원도,강릉시,성산면,20~24,20,14,6,2022-05-26
2010,강원도,강릉시,성산면,25~29,13,11,2,2022-05-26
2010,강원도,강릉시,성산면,30~34,21,16,5,2022-05-26
2010,강원도,강릉시,성산면,35~39,48,36,12,2022-05-26
2010,강원도,강릉시,성산면,40~44,65,45,20,2022-05-26
2010,강원도,강릉시,성산면,45~49,94,58,36,2022-05-26
2010,강원도,강릉시,성산면,50~54,90,50,40,2022-05-26
2010,강원도,강릉시,성산면,55~59,69,35,34,2022-05-26
2010,강원도,강릉시,성산면,60~64,71,27,44,2022-05-26
2010,강원도,강릉시,성산면,65~69,72,25,47,2022-05-26
2010,강원도,강릉시,성산면,70~74,66,10,56,2022-05-26
2010,강원도,강릉시,성산면,75~79,47,6,41,2022-05-26
2010,강원도,강릉시,성산면,80~84,10,2,8,2022-05-26
2010,강원도,강릉시,성산면,85세 이상,5,0,5,2022-05-26
2015,강원도,강릉시,성산면,20세 미만,42,25,27,2022-05-26
2015,강원도,강릉시,성산면,20~24,35,21,14,2022-05-26
2015,강원도,강릉시,성산면,25~29,20,14,6,2022-05-26
2015,강원도,강릉시,성산면,30~34,13,11,2,2022-05-26
2015,강원도,강릉시,성산면,35~39,21,16,5,2022-05-26
2015,강원도,강릉시,성산면,40~44,48,36,12,2022-05-26
2015,강원도,강릉시,성산면,45~49,65,45,20,2022-05-26
2015,강원도,강릉시,성산면,50~54,94,58,36,2022-05-26
2015,강원도,강릉시,성산면,55~59,90,50,40,2022-05-26
2015,강원도,강릉시,성산면,60~64,69,35,34,2022-05-26
2015,강원도,강릉시,성산면,65~69,71,27,44,2022-05-26
2015,강원도,강릉시,성산면,70~74,72,25,47,2022-05-26
2015,강원도,강릉시,성산면,75~79,66,10,56,2022-05-26
2015,강원도,강릉시,성산면,80~84,47,6,41,2022-05-26
2015,강원도,강릉시,성산면,85세 이상,15,2,13,2022-05-26
2020,강원도,강릉시,성산면,20세 미만,0,0,0,2022-05-26
2020,강원도,강릉시,성산면,20~24,7,4,3,2022-05-26
2020,강원도,강릉시,성산면,25~29,35,21,14,2022-05-26
2020,강원도,강릉시,성산면,30~34,20,14,6,2022-05-26
2020,강원도,강릉시,성산면,35~39,13,11,2,2022-05-26
2020,강원도,강릉시,성산면,40~44,21,16,5,2022-05-26
2020,강원도,강릉시,성산면,45~49,48,36,12,2022-05-26
2020,강원도,강릉시,성산면,50~54,65,45,20,2022-05-26
2020,강원도,강릉시,성산면,55~59,94,58,36,2022-05-26
2020,강원도,강릉시,성산면,60~64,90,50,40,2022-05-26
2020,강원도,강릉시,성산면,65~69,69,35,34,2022-05-26
2020,강원도,강릉시,성산면,70~74,71,27,44,2022-05-26
2020,강원도,강릉시,성산면,75~79,72,25,47,2022-05-26
2020,강원도,강릉시,성산면,80~84,66,10,56,2022-05-26
2020,강원도,강릉시,성산면,85세 이상,62,8,54,2022-05-26
2010,강원도,강릉시,왕산면,20세 미만,12,10,2,2022-05-26
2010,강원도,강릉시,왕산면,20~24,8,7,1,2022-05-26
2010,강원도,강릉시,왕산면,25~29,14,12,2,2022-05-26
2010,강원도,강릉시,왕산면,30~34,10,9,1,2022-05-26
2010,강원도,강릉시,왕산면,35~39,19,15,4,2022-05-26
2010,강원도,강릉시,왕산면,40~44,44,29,15,2022-05-26
2010,강원도,강릉시,왕산면,45~49,58,40,18,2022-05-26
2010,강원도,강릉시,왕산면,50~54,91,53,38,2022-05-26
2010,강원도,강릉시,왕산면,55~59,54,32,22,2022-05-26
2010,강원도,강릉시,왕산면,60~64,35,17,18,2022-05-26
2010,강원도,강릉시,왕산면,65~69,40,17,23,2022-05-26
2010,강원도,강릉시,왕산면,70~74,34,6,28,2022-05-26
2010,강원도,강릉시,왕산면,75~79,18,8,10,2022-05-26
2010,강원도,강릉시,왕산면,80~84,5,1,4,2022-05-26
2010,강원도,강릉시,왕산면,85세 이상,1,1,0,2022-05-26
2015,강원도,강릉시,왕산면,20세 미만,12,10,2,2022-05-26
2015,강원도,강릉시,왕산면,20~24,8,7,1,2022-05-26
2015,강원도,강릉시,왕산면,25~29,8,7,1,2022-05-26
2015,강원도,강릉시,왕산면,30~34,14,12,2,2022-05-26
2015,강원도,강릉시,왕산면,35~39,10,9,1,2022-05-26
2015,강원도,강릉시,왕산면,40~44,19,15,4,2022-05-26
2015,강원도,강릉시,왕산면,45~49,44,29,15,2022-05-26
2015,강원도,강릉시,왕산면,50~54,58,40,18,2022-05-26
2015,강원도,강릉시,왕산면,55~59,91,53,38,2022-05-26
2015,강원도,강릉시,왕산면,60~64,54,32,22,2022-05-26
2015,강원도,강릉시,왕산면,65~69,35,17,18,2022-05-26
2015,강원도,강릉시,왕산면,70~74,40,17,23,2022-05-26
2015,강원도,강릉시,왕산면,75~79,34,6,28,2022-05-26
2015,강원도,강릉시,왕산면,80~84,18,8,10,2022-05-26
2015,강원도,강릉시,왕산면,85세 이상,6,2,4,2022-05-26
2020,강원도,강릉시,왕산면,20세 미만,0,0,0,2022-05-26
2020,강원도,강릉시,왕산면,20~24,4,3,1,2022-05-26
2020,강원도,강릉시,왕산면,25~29,8,7,1,2022-05-26
2020,강원도,강릉시,왕산면,30~34,8,7,1,2022-05-26
2020,강원도,강릉시,왕산면,35~39,14,12,2,2022-05-26
