순위,업소명,주소,분류
1,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식
2,테라로사커피공장강릉본점,강원 강릉시 현천길 7-0,카페/찻집
3,강릉커피거리,강원 강릉시 창해로14번길 0-0,음식점기타
4,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집
5,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식
6,갤러리밥스,강원 강릉시 난설헌로 144-0,카페/찻집
7,곳,강원 강릉시 진리해변길 143-0,카페/찻집
8,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집
9,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,카페/찻집
10,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식
11,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집
12,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집
13,장안횟집,강원 강릉시 진리항구길 51-0,전문음식
14,해성집,강원 강릉시 금성로 21-0,전문음식
15,9남매두부집,강원 강릉시 초당원길 63-2,한식
16,초당두부마을,강원 강릉시,음식점기타
17,순두부젤라또3호점,강원 강릉시 해안로 1603-0,카페/찻집
18,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식
19,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집
20,원조강릉교동반점본점 [중식],강원 강릉시 강릉대로 205-0,외국식
21,스타벅스강릉율곡DT점,강원 강릉시 율곡로 2996-0,카페/찻집
22,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집
23,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식
24,346커피스토리,강원 강릉시 창해로 346-0,카페/찻집
25,고선생화덕생선구이,강원 강릉시 해안로 286-0,한식
26,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집
27,삼교리동치미막국수본점,강원 강릉시 범일로 364-0,한식
28,바우카페본점,강원 강릉시 진리해변길 109-1,카페/찻집
29,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,간이음식
30,고씨네동해막국수강문본점,강원 강릉시 창해로350번길 25-0,한식
31,강릉김밥,강원 강릉시 용지로 121-0,간이음식
32,이모네생선찜,강원 강릉시 가작로 8-0,한식
33,벌집,강원 강릉시 경강로2069번길 15-0,한식
34,카페소돌엔,강원 강릉시 해안로 1987-0,카페/찻집
35,만동제과,강원 강릉시 금성로 6-0,간이음식
36,풍년갈비,강원 강릉시 강릉대로587번길 10-5,한식
37,감자적1번지,강원 강릉시 공항길29번길 7-0,한식
38,허스크밀,강원 강릉시 난설헌로219번길 20-8,카페/찻집
39,동해기정떡,강원 강릉시 교동광장로 29-0,간이음식
40,철뚝소머리집,강원 강릉시 철둑길 42-0,한식
41,현대장칼국수,강원 강릉시 임영로182번길 7-1,한식
42,강릉감자바우,강원 강릉시 금성로35번길 4-0,한식
43,만석닭강정안목직영점,강원 강릉시 창해로2번길 32-0,간이음식
44,정은숙초당순두부,강원 강릉시 난설헌로 200-0,한식
45,연곡꾹저구탕,강원 강릉시 진고개로 2679-0,한식
46,제주해인물회,강원 강릉시 진리해변길 68-9,전문음식
47,배니닭강정,강원 강릉시 금성로13번길 5-0,간이음식
48,스타벅스강릉안목항점,강원 강릉시 창해로14번길 40-0,카페/찻집
49,강릉불고기초당점,강원 강릉시 초당순두부길 2-0,한식
50,스타벅스강릉송정DT점,강원 강릉시 경강로 2400-0,카페/찻집
51,해미가,강원 강릉시 솔올로 103-0,한식
52,초당애순두부짬뽕,강원 강릉시 해안로 388-0,한식
53,초당훈이순두부짬뽕,강원 강릉시 초당순두부길55번길 38-0,한식
54,보헤미안박이추커피본점,강원 강릉시 홍질목길 55-11,카페/찻집
55,맥도날드강릉점,강원 강릉시 경강로 2097-0,간이음식
56,염전횟집,강원 강릉시 염전길 147-0,전문음식
57,실비생선구이본점큰집,강원 강릉시 해안로 1723-0,한식
58,소나무집초당순두부,강원 강릉시 초당순두부길 95-5,한식
59,금천칼국수,강원 강릉시 강릉대로 445-1,한식
60,보사노바커피로스터스강릉점,강원 강릉시 창해로14번길 28-0,카페/찻집
61,강문가,강원 강릉시 경포로463번길 29-0,전문음식
62,버거킹강릉교동SK점,강원 강릉시 하슬라로 159-0,간이음식
63,고성생선찜,강원 강릉시 성덕포남로 56-0,한식
64,금학칼국수,강원 강릉시 대학길 12-6,한식
65,스타벅스강릉IC DT점,강원 강릉시 경강로 1853-0,카페/찻집
66,대동면옥강릉점,강원 강릉시 종합운동장길 26-8,한식
67,광덕식당본점,강원 강릉시 경강로 2403-0,한식
68,강릉교동짬뽕[중식],강원 강릉시 하슬라로232번길 26-12,외국식
69,남경막국수본점,강원 강릉시 등대길 32-0,한식
70,강릉엄지네꼬막집1호점,강원 강릉시 남구길30번길 22-0,한식
71,강냉이소쿠리,강원 강릉시 학교담길 32-8,카페/찻집
72,큰기와집[한식],강원 강릉시 정동등명길 3-0,한식
73,강릉역옹막,강원 강릉시 중기2길 9-0,한식
74,폴&메리강문점,강원 강릉시 창해로350번길 33-0,간이음식
75,초당버거,강원 강릉시 초당순두부길77번길 20-0,간이음식
76,금성해장국,강원 강릉시 남문길 27-1,한식
77,초당커피정미소,강원 강릉시 초당원길 67-0,카페/찻집
78,그리우니,강원 강릉시 난설헌로 166-0,카페/찻집
79,강릉짬뽕순두부강릉본점,강원 강릉시 초당순두부길 116-0,한식
80,농촌순두부,강원 강릉시 초당순두부길 108-0,한식
81,이만구교동짬뽕[중식],강원 강릉시 강릉대로 199-8,외국식
82,최일순짬뽕순두부,강원 강릉시 해안로 517-0,한식
83,초당오죽헌소갈비찜,강원 강릉시 난설헌로 219-0,한식
84,팔도전복해물뚝배기,강원 강릉시 창해로 375-0,한식
85,이츠모라멘,강원 강릉시 초당원길 34-0,전문음식
86,사천항주문진물회,강원 강릉시 진리항구길 49-0,전문음식
87,파도식당본점,강원 강릉시 신리천로 34-0,한식
88,정화식당,강원 강릉시 토성로 193-0,한식
89,강릉샌드초당점,강원 강릉시 난설헌로 249-0,카페/찻집
90,스타벅스강릉교동광장점,강원 강릉시 교동광장로 114-0,카페/찻집
91,삼교리동치미막국수남항진점,강원 강릉시 공항길127번길 42-0,한식
92,택지골수제생갈비강릉본점,강원 강릉시 하슬라로232번길 1-0,한식
93,학산시골밥상,강원 강릉시 범일로 131-0,한식
94,독도네본점,강원 강릉시 옥천로 47-0,전문음식
95,안목바다식당,강원 강릉시 성덕로 148-0,한식
96,도깨비시장,강원 강릉시 학교담길 32-8,카페/찻집
97,카페뤼미에르,강원 강릉시 창해로14번길 18-0,카페/찻집
98,베이커리가루,강원 강릉시 솔올로 3-0,간이음식
99,뚱할머니순두부,강원 강릉시 난설헌로 142-0,전문음식
100,돌체테리아,강원 강릉시 하슬라로206번길 4-3,카페/찻집
