기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,2876403.0,2975642.0,-3.3
202302,2718270.0,2453381.0,10.8
202303,2999515.0,2298094.0,30.5
202304,2643769.0,3007653.0,-12.1
202305,2788569.0,3042690.0,-8.4
202306,2839205.0,2988654.0,-5.0
202307,3129973.0,3548890.0,-11.8
202308,3601322.0,4025555.0,-10.5
202309,2893618.0,2974776.0,-2.7
202310,2910262.0,3320698.0,-12.4
202311,2241854.0,2602076.0,-13.8
202312,2633460.0,2528964.0,4.1
202401,2692709.0,2876403.0,-6.4
202402,2608945.0,2718270.0,-4.0
202403,2670655.0,2999515.0,-11.0
202404,2455766.0,2643769.0,-7.1
202405,2768413.0,2788569.0,-0.7
202406,2929017.0,2839205.0,3.2
202407,2982335.0,3129973.0,-4.7
