시도,군구,관광지,내/외국인,총계(2017.1/4 ~ 2024.2/4),2017년,,,,,2018년,,,,,2019년,,,,,2020년,,,,,2021년,,,,,2022년,,,,,2023년,,,,,2024년,,,
,,,,,인원계,2017년 1분기,2017년 2분기,2017년 3분기,2017년 4분기,인원계,2018년 1분기,2018년 2분기,2018년 3분기,2018년 4분기,인원계,2019년 1분기,2019년 2분기,2019년 3분기,2019년 4분기,인원계,2020년 1분기,2020년 2분기,2020년 3분기,2020년 4분기,인원계,2021년 1분기,2021년 2분기,2021년 3분기,2021년 4분기,인원계,2022년 1분기,2022년 2분기,2022년 3분기,2022년 4분기,인원계,2023년 1분기,2023년 2분기,2023년 3분기,2023년 4분기,인원계,2024년 1분기,2024년 2분기,
강원특별자치도,강릉시,강릉단오문화관,내국인,"297,178","101,385","13,461","71,760","8,153","8,011","27,482","6,355","6,929","4,972","9,226","84,200","4,237","66,742","4,331","8,890","10,651","1,452","4,885","2,921","1,393","5,618",426,"1,829",614,"2,749","32,408","7,949","11,729","6,994","5,736","35,434","4,928","15,169","6,657","8,680",,,,
강원특별자치도,강릉시,강릉단오문화관,외국인,432,193,0,0,110,83,239,57,170,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
강원특별자치도,강릉시,강릉단오문화관,합계,"297,610","101,578","13,461","71,760","8,263","8,094","27,721","6,412","7,099","4,984","9,226","84,200","4,237","66,742","4,331","8,890","10,651","1,452","4,885","2,921","1,393","5,618",426,"1,829",614,"2,749","32,408","7,949","11,729","6,994","5,736","35,434","4,928","15,169","6,657","8,680",,,,
강원특별자치도,강릉시,강릉솔향수목원,내국인,"1,309,374","211,200","19,763","92,349","54,619","44,469","203,140","48,855","70,582","45,810","37,893","190,149","23,863","68,473","56,670","41,143","172,819","20,852","66,965","46,564","38,438","165,296","18,958","62,728","39,995","43,615","169,762","20,127","59,887","48,762","40,986","197,008","22,498","71,409","59,764","43,337",,,,
강원특별자치도,강릉시,강릉솔향수목원,합계,"1,309,374","211,200","19,763","92,349","54,619","44,469","203,140","48,855","70,582","45,810","37,893","190,149","23,863","68,473","56,670","41,143","172,819","20,852","66,965","46,564","38,438","165,296","18,958","62,728","39,995","43,615","169,762","20,127","59,887","48,762","40,986","197,008","22,498","71,409","59,764","43,337",,,,
강원특별자치도,강릉시,강릉아기동물농장,내국인,"18,461",,,,,,,,,,,"18,461","6,239","5,343","3,599","3,280",,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도,강릉시,강릉아기동물농장,합계,"18,461",,,,,,,,,,,"18,461","6,239","5,343","3,599","3,280",,,,,,,,,,,,,,,,,,,,,,,,
강원특별자치도,강릉시,강릉아트센터,내국인,"224,766",,,,,,,,,,,"82,459","15,673","17,515","14,401","34,870","8,757","3,882","1,047","1,524","2,304","18,367",300,"4,005","3,376","10,686","44,916","3,366","10,368","10,652","20,530","70,267","9,803","15,780","20,550","24,134",,,,
강원특별자치도,강릉시,강릉아트센터,합계,"224,766",,,,,,,,,,,"82,459","15,673","17,515","14,401","34,870","8,757","3,882","1,047","1,524","2,304","18,367",300,"4,005","3,376","10,686","44,916","3,366","10,368","10,652","20,530","70,267","9,803","15,780","20,550","24,134",,,,
강원특별자치도,강릉시,강릉임해자연휴양림,내국인,"173,081",,,,,,,,,,,"27,499","6,682","6,544","7,615","6,658","13,674","3,847",775,"4,892","4,160","13,108","2,798","2,547","3,714","4,049","16,305","3,643","2,619","4,524","5,519","102,495","7,642","6,268","8,399","80,186",,,,
강원특별자치도,강릉시,강릉임해자연휴양림,합계,"173,081",,,,,,,,,,,"27,499","6,682","6,544","7,615","6,658","13,674","3,847",775,"4,892","4,160","13,108","2,798","2,547","3,714","4,049","16,305","3,643","2,619","4,524","5,519","102,495","7,642","6,268","8,399","80,186",,,,
강원특별자치도,강릉시,강릉정동진레일바이크,내국인,"1,254,833",,,,,,,,,,,"214,386","42,098","58,696","65,586","48,006","185,530","29,518","42,352","65,038","48,622","208,780","29,680","60,060","61,020","58,020","236,884","42,604","71,280","74,436","48,564","409,253","205,386","87,092","63,401","53,374",,,,
강원특별자치도,강릉시,강릉정동진레일바이크,합계,"1,254,833",,,,,,,,,,,"214,386","42,098","58,696","65,586","48,006","185,530","29,518","42,352","65,038","48,622","208,780","29,680","60,060","61,020","58,020","236,884","42,604","71,280","74,436","48,564","409,253","205,386","87,092","63,401","53,374",,,,
강원특별자치도,강릉시,대관령박물관,내국인,"190,708","62,487","12,877","25,938","13,722","9,950","52,565","10,750","15,828","15,491","10,496","30,478","6,637","6,817","9,213","7,811","14,901","5,412","3,767","3,464","2,258","9,413",146,"3,663","3,240","2,364","10,776","1,715","3,096","3,546","2,419","10,088","1,498","2,828","3,365","2,397",,,,
강원특별자치도,강릉시,대관령박물관,외국인,164,2,0,0,0,2,143,91,0,32,20,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,5,0,4,0,1,,,,
강원특별자치도,강릉시,대관령박물관,합계,"190,872","62,489","12,877","25,938","13,722","9,952","52,708","10,841","15,828","15,523","10,516","30,484","6,643","6,817","9,213","7,811","14,901","5,412","3,767","3,464","2,258","9,413",146,"3,663","3,240","2,364","10,784","1,715","3,096","3,546","2,427","10,093","1,498","2,832","3,365","2,398",,,,
강원특별자치도,강릉시,대관령자연휴양림,내국인,"747,635","85,896","16,865","16,890","26,546","25,595","83,793","19,024","19,201","29,566","16,002","78,994","20,911","22,294","23,318","12,471","74,079","8,902","10,115","38,907","16,155","117,508","6,799","25,176","52,330","33,203","144,877","23,758","40,009","50,797","30,313","162,488","23,094","33,554","60,841","44,999",,,,
강원특별자치도,강릉시,대관령자연휴양림,외국인,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
강원특별자치도,강릉시,대관령자연휴양림,합계,"747,641","85,896","16,865","16,890","26,546","25,595","83,799","19,030","19,201","29,566","16,002","78,994","20,911","22,294","23,318","12,471","74,079","8,902","10,115","38,907","16,155","117,508","6,799","25,176","52,330","33,203","144,877","23,758","40,009","50,797","30,313","162,488","23,094","33,554","60,841","44,999",,,,
강원특별자치도,강릉시,동양자수박물관,내국인,"14,797",,,,,,,,,,,"7,153","1,196","2,268","2,176","1,513","3,218",825,540,999,854,,,,,,610,0,0,0,610,"3,816",382,"1,073",869,"1,492",,,,
강원특별자치도,강릉시,동양자수박물관,합계,"14,797",,,,,,,,,,,"7,153","1,196","2,268","2,176","1,513","3,218",825,540,999,854,,,,,,610,0,0,0,610,"3,816",382,"1,073",869,"1,492",,,,
강원특별자치도,강릉시,디자인씽킹뮤지엄,내국인,"14,966",,,,,,,,,,,"7,514","1,315","2,400","2,029","1,770","1,093",752,199,107,35,627,125,375,127,0,"1,114",0,0,"1,114",0,"4,618",210,"1,612","1,253","1,543",,,,
